ID,Title,Authors,Abstract,Keywords,Journal,Publication_Date,Year,DOI,URL,Source,Country,Language
conf/chi/Shi0CDCQR25,CARING-AI: Towards Authoring Context-aware Augmented Reality INstruction through Generative Artificial Intelligence.,Jingyu Shi;Rahul Jain 0018;Seunggeun Chi;Hyungjun Doh;Hyung-Gun Chi;Alexander J. Quinn;Karthik Ramani,,,CHI,,2025,10.1145/3706598.3713348,https://doi.org/10.1145/3706598.3713348,DBLP,,
journals/corr/abs-2501-16557,CARING-AI: Towards Authoring Context-aware Augmented Reality INstruction through Generative Artificial Intelligence.,Jingyu Shi;Rahul Jain 0018;Seungguen Chi;Hyungjun Doh;Hyung-Gun Chi;Alexander J. Quinn;Karthik Ramani,,,CoRR,,2025,10.48550/ARXIV.2501.16557,https://doi.org/10.48550/arXiv.2501.16557,DBLP,,
conf/cbms/RofenaMPZSG25,Lesion-Aware Generative Artificial Intelligence for Virtual Contrast-Enhanced Mammography in Breast Cancer.,Aurora Rofena;Arianna Manchia;Claudia Lucia Piccolo;Bruno Beomonte Zobel;Paolo Soda;Valerio Guarrasi,,,CBMS,,2025,10.1109/CBMS65348.2025.00039,https://doi.org/10.1109/CBMS65348.2025.00039,DBLP,,
journals/corr/abs-2505-03018,Lesion-Aware Generative Artificial Intelligence for Virtual Contrast-Enhanced Mammography in Breast Cancer.,Aurora Rofena;Arianna Manchia;Claudia Lucia Piccolo;Bruno Beomonte Zobel;Paolo Soda;Valerio Guarrasi,,,CoRR,,2025,10.48550/ARXIV.2505.03018,https://doi.org/10.48550/arXiv.2505.03018,DBLP,,
journals/jcis/OoiTAACCDHKLLMMMPRRSSTW25,The Potential of Generative Artificial Intelligence Across Disciplines: Perspectives and Future Directions.,Keng-Boon Ooi;Garry Wei-Han Tan;Mostafa Al-Emran;Mohammed A. Al-Sharafi;Alexandru Capatina;Amrita Chakraborty;Yogesh K. Dwivedi;Tzu-Ling Huang;Arpan Kumar Kar;Voon-Hsien Lee;Xiu-Ming Loh;Adrian Micu;Patrick Mikalef;Emmanuel Mogaji;Neeraj Pandey;Ramakrishnan Raman 0001;Nripendra P. Rana;Prianka Sarker;Anshuman Sharma;Ching-I Teng;Samuel Fosso Wamba;Lai-Wan Wong,,,J. Comput. Inf. Syst.,,2025,10.1080/08874417.2023.2261010,https://doi.org/10.1080/08874417.2023.2261010,DBLP,,
https://openalex.org/W4387379065,The Potential of Generative Artificial Intelligence Across Disciplines: Perspectives and Future Directions,Keng?Boon Ooi;Garry Wei?Han Tan;Mostafa Al?Emran;Mohammed A. Al?Sharafi;Alexandru C?p??în?;Amrita Chakraborty;Yogesh K. Dwivedi;Tzu-Ling Huang;Arpan Kumar Kar;Voon?Hsien Lee;Xiu-Ming Loh;Adrian Micu;Patrick Mikalef;Emmanuel Mogaji;Neeraj Pandey;Ramakrishnan Raman;Nripendra P. Rana;Prianka Sarker;Anshuman Sharma;Ching?I Teng;Samuel Fosso Wamba;Lai?Wan Wong,Abstract available,,Journal of Computer Information Systems,,2023,10.1080/08874417.2023.2261010,null,OPENALEX,,
journals/cys/MinuttiMartinezEM23,PumaMedNet-CXR: An Explainable Generative Artificial Intelligence for the Analysis and Classification of Chest X-Ray Images.,Carlos Minutti-Martinez;Boris Escalante-Ramírez;Jimena Olveres Montiel,,,Computación y Sistemas,,2023,,https://cys.cic.ipn.mx/ojs/index.php/CyS/article/view/4777,DBLP,,
conf/micai/MinuttiMartinezEM23,PumaMedNet-CXR: An Explainable Generative Artificial Intelligence for the Analysis and Classification of Chest X-Ray Images.,Carlos Minutti-Martinez;Boris Escalante-Ramírez;Jimena Olveres Montiel,,,MICAI,,2023,10.1007/978-3-031-47640-2_18,https://doi.org/10.1007/978-3-031-47640-2_18,DBLP,,
journals/iotm/LyuPSSZ25,Guest Editorial: Generative Artificial Intelligence at the Edge in the Modern Internet of Things.,Zhihan Lyu;James J. Park 0001;Jun Shen 0001;Houbing Song;Yi Zhang 0102,,,IEEE Internet Things Mag.,,2025,10.1109/MIOT.2025.10815088,https://doi.org/10.1109/MIOT.2025.10815088,DBLP,,
journals/iotm/LyuPSSZ24,Guest Editorial: Generative Artificial Intelligence at the Edge in The Modern Internet of Things.,Zhihan Lyu;James J. Park 0001;Jun Shen 0001;Houbing Song;Yi Zhang 0102,,,IEEE Internet Things Mag.,,2024,10.1109/MIOT.2024.10517501,https://doi.org/10.1109/MIOT.2024.10517501,DBLP,,
journals/siamrev/HighamHG25,Diffusion Models for Generative Artificial Intelligence: An Introduction for Applied Mathematicians.,Catherine F. Higham;Desmond J. Higham;Peter Grindrod,,,SIAM Rev.,,2025,10.1137/23M1626232,https://doi.org/10.1137/23m1626232,DBLP,,
journals/corr/abs-2312-14977,Diffusion Models for Generative Artificial Intelligence: An Introduction for Applied Mathematicians.,Catherine F. Higham;Desmond J. Higham;Peter Grindrod,,,CoRR,,2023,10.48550/ARXIV.2312.14977,https://doi.org/10.48550/arXiv.2312.14977,DBLP,,
books/acm/23/LR2023,Generative Artificial Intelligence,David Leslie;Francesca Rossi 0001,,,ACM TechBrief,,2023,10.1145/3626110,https://doi.org/10.1145/3626110,DBLP,,
journals/electronicmarkets/BanhS23,Generative artificial intelligence.,Leonardo Banh;Gero Strobel,,,Electron. Mark.,,2023,10.1007/S12525-023-00680-1,https://doi.org/10.1007/s12525-023-00680-1,DBLP,,
series/sapere/ZantKS13,Generative Artificial Intelligence.,Tijn van der Zant;Matthijs Kouw;Lambert Schomaker,,,PT-AI,,2011,10.1007/978-3-642-31674-6_8,https://doi.org/10.1007/978-3-642-31674-6_8,DBLP,,
https://openalex.org/W4389359039,Generative artificial intelligence,Leonardo Banh;Gero Strobel,Abstract available,,Electronic Markets,,2023,10.1007/s12525-023-00680-1,https://link.springer.com/content/pdf/10.1007/s12525-023-00680-1.pdf,OPENALEX,,
journals/mta/SengarHKC25,Generative artificial intelligence: a systematic review and applications.,Sandeep Singh Sengar;Affan Bin Hasan;Sanjay Kumar 0001;Fiona Carroll,,,Multim. Tools Appl.,,2025,10.1007/S11042-024-20016-1,https://doi.org/10.1007/s11042-024-20016-1,DBLP,,
journals/corr/abs-2405-11029,Generative Artificial Intelligence: A Systematic Review and Applications.,Sandeep Singh Sengar;Affan Bin Hasan;Sanjay Kumar 0001;Fiona Carroll,,,CoRR,,2024,10.48550/ARXIV.2405.11029,https://doi.org/10.48550/arXiv.2405.11029,DBLP,,
journals/computer/MurugesanC23,The Rise of Generative Artificial Intelligence and Its Impact on Education: The Promises and Perils.,San Murugesan;Aswani Kumar Cherukuri,,,Computer,,2023,10.1109/MC.2023.3253292,https://doi.org/10.1109/MC.2023.3253292,DBLP,,
https://openalex.org/W4367059804,The Rise of Generative Artificial Intelligence and Its Impact on Education: The Promises and Perils,San Murugesan;Aswani Kumar Cherukuri,Abstract available,,Computer,,2023,10.1109/mc.2023.3253292,https://ieeexplore.ieee.org/ielx7/2/10109259/10109305.pdf,OPENALEX,,
journals/bjet/FanTLSTZSLG25,"Beware of metacognitive laziness: Effects of generative artificial intelligence on learning motivation, processes, and performance.",Yizhou Fan;Luzhen Tang;Huixiao Le;Kejie Shen;Shufang Tan;Yueying Zhao;Yuan Shen;Xinyu Li 0004;Dragan Gasevic,,,Br. J. Educ. Technol.,,2025,10.1111/BJET.13544,https://doi.org/10.1111/bjet.13544,DBLP,,
journals/corr/abs-2412-09315,"Beware of Metacognitive Laziness: Effects of Generative Artificial Intelligence on Learning Motivation, Processes, and Performance.",Yizhou Fan;Luzhen Tang;Huixiao Le;Kejie Shen;Shufang Tan;Yueying Zhao;Yuan Shen;Xinyu Li 0004;Dragan Gasevic,,,CoRR,,2024,10.48550/ARXIV.2412.09315,https://doi.org/10.48550/arXiv.2412.09315,DBLP,,
journals/corr/abs-2401-00832,Taking the Next Step with Generative Artificial Intelligence: The Transformative Role of Multimodal Large Language Models in Science Education.,Arne Bewersdorff;Christian Hartmann 0005;Marie Hornberger;Kathrin Seßler;Maria Bannert;Enkelejda Kasneci;Gjergji Kasneci;Xiaoming Zhai;Claudia Nerdel,,,CoRR,,2024,10.48550/ARXIV.2401.00832,https://doi.org/10.48550/arXiv.2401.00832,DBLP,,
https://openalex.org/W4406232026,Taking the next step with generative artificial intelligence: The transformative role of multimodal large language models in science education,Arne Bewersdorff;Christian Hartmann;Marie Hornberger;Kathrin Seßler;Maria Bannert;Enkelejda Kasneci;Gjergji Kasneci;Xiaoming Zha?;Claudia Nerdel,,,Learning and Individual Differences,,2025,10.1016/j.lindif.2024.102601,https://doi.org/10.1016/j.lindif.2024.102601,OPENALEX,,
journals/aiethics/GangulyJAM25,Generative artificial intelligence for academic research: evidence from guidance issued for researchers by higher education institutions in the United States.,Amrita Ganguly;Aditya Johri;Areej Ali;Nora McDonald,,,AI Ethics,,2025,10.1007/S43681-025-00688-7,https://doi.org/10.1007/s43681-025-00688-7,DBLP,,
journals/corr/abs-2503-00664,Generative Artificial Intelligence for Academic Research: Evidence from Guidance Issued for Researchers by Higher Education Institutions in the United States.,Amrita Ganguly;Aditya Johri;Areej Ali;Nora McDonald,,,CoRR,,2025,10.48550/ARXIV.2503.00664,https://doi.org/10.48550/arXiv.2503.00664,DBLP,,
journals/corr/abs-2402-09880,Inadequacies of Large Language Model Benchmarks in the Era of Generative Artificial Intelligence.,Timothy R. McIntosh;Teo Susnjak;Tong Liu 0016;Paul A. Watters;Malka N. Halgamuge,,,CoRR,,2024,10.48550/ARXIV.2402.09880,https://doi.org/10.48550/arXiv.2402.09880,DBLP,,
https://openalex.org/W4391901128,"Inadequacies of Large Language Model Benchmarks in the Era of Generative
  Artificial Intelligence",Timothy R. McIntosh;Teo Sušnjak;Tong Liu;Paul Watters;Malka N. Halgamuge,Abstract available,,arXiv (Cornell University),,2024,10.48550/arxiv.2402.09880,http://arxiv.org/pdf/2402.09880,OPENALEX,,
https://openalex.org/W4410342726,Inadequacies of Large Language Model Benchmarks in the Era of Generative Artificial Intelligence,Timothy R. McIntosh;Teo Sušnjak;Nalin Asanka Gamagedara Arachchilage;Tong Liu;Dan Xu;Paul Watters;Malka N. Halgamuge,,,IEEE Transactions on Artificial Intelligence,,2025,10.1109/tai.2025.3569516,null,OPENALEX,,
journals/iotj/ZhongMJL25,Enabling Distributed Generative Artificial Intelligence in 6G: Mobile-Edge Generation.,Ruikang Zhong;Xidong Mu;Mona Jaber;Yuanwei Liu,,,IEEE Internet Things J.,,2025,10.1109/JIOT.2024.3493611,https://doi.org/10.1109/JIOT.2024.3493611,DBLP,,
journals/corr/abs-2409-05870,Enabling Distributed Generative Artificial Intelligence in 6G: Mobile Edge Generation.,Ruikang Zhong;Xidong Mu;Mona Jaber;Yuanwei Liu,,,CoRR,,2024,10.48550/ARXIV.2409.05870,https://doi.org/10.48550/arXiv.2409.05870,DBLP,,
conf/mdtt/Martin24,What Generative Artificial Intelligence Means for Terminological Definitions.,,,,MDTT,,2024,,https://ceur-ws.org/Vol-3703/paper1.pdf,DBLP,,
journals/corr/abs-2402-16139,What Generative Artificial Intelligence Means for Terminological Definitions.,,,,CoRR,,2024,10.48550/ARXIV.2402.16139,https://doi.org/10.48550/arXiv.2402.16139,DBLP,,
journals/eait/ZhuLZ25,Exploring the impact of generative artificial intelligence on students&apos; learning outcomes: a meta-analysis.,Yinkun Zhu;Qiwen Liu;Li Zhao,,,Educ. Inf. Technol.,,2025,10.1007/S10639-025-13420-Z,https://doi.org/10.1007/s10639-025-13420-z,DBLP,,
https://openalex.org/W4407979380,Exploring the impact of generative artificial intelligence on students’ learning outcomes: a meta-analysis,Yinkun Zhu;Qiwen Liu;Li Zhao,,,Education and Information Technologies,,2025,10.1007/s10639-025-13420-z,null,OPENALEX,,
conf/sigcse/LiuZLHTM24,Teaching CS50 with AI: Leveraging Generative Artificial Intelligence in Computer Science Education.,Rongxin Liu;Carter Zenke;Charlie Liu;Andrew Holmes;Patrick Thornton;David J. Malan,,,SIGCSE,,2024,10.1145/3626252.3630938,https://doi.org/10.1145/3626252.3630938,DBLP,,
conf/sigcse/LiuZLHTM24a,Teaching CS50 with AI: Leveraging Generative Artificial Intelligence in Computer Science Education.,Rongxin Liu;Carter Zenke;Charlie Liu;Andrew Holmes;Patrick Thornton;David J. Malan,,,SIGCSE,,2024,10.1145/3626253.3635427,https://doi.org/10.1145/3626253.3635427,DBLP,,
conf/fire/KillivalavanT23,Software Metadata Classification based on Generative Artificial Intelligence.,Seetharam Killivalavan;Durairaj Thenmozhi,,,FIRE,,2023,,https://ceur-ws.org/Vol-3681/T7-3.pdf,DBLP,,
journals/corr/abs-2310-13006,Software Metadata Classification based on Generative Artificial Intelligence.,Seetharam Killivalavan;Durairaj Thenmozhi,,,CoRR,,2023,10.48550/ARXIV.2310.13006,https://doi.org/10.48550/arXiv.2310.13006,DBLP,,
conf/icws/BeheshtiYSBCDMZX23,ProcessGPT: Transforming Business Process Management with Generative Artificial Intelligence.,Amin Beheshti;Jian Yang 0001;Quan Z. Sheng;Boualem Benatallah;Fabio Casati;Schahram Dustdar;Hamid Reza Motahari-Nezhad;Xuyun Zhang;Shan Xue 0001,,,ICWS,,2023,10.1109/ICWS60048.2023.00099,https://doi.org/10.1109/ICWS60048.2023.00099,DBLP,,
journals/corr/abs-2306-01771,ProcessGPT: Transforming Business Process Management with Generative Artificial Intelligence.,Amin Beheshti;Jian Yang 0001;Quan Z. Sheng;Boualem Benatallah;Fabio Casati;Schahram Dustdar;Hamid Reza Motahari-Nezhad;Xuyun Zhang;Shan Xue 0001,,,CoRR,,2023,10.48550/ARXIV.2306.01771,https://doi.org/10.48550/arXiv.2306.01771,DBLP,,
journals/npjdm/OnianiHPPPLW23,Adopting and expanding ethical principles for generative artificial intelligence from military to healthcare.,David Oniani;Jordan Hilsman;Yifan Peng 0002;Ronald K. Poropatich;Jeremy C. Pamplin;Gary L. Legault;Yanshan Wang,,,npj Digit. Medicine,,2023,10.1038/S41746-023-00965-X,https://doi.org/10.1038/s41746-023-00965-x,DBLP,,
journals/corr/abs-2308-02448,From Military to Healthcare: Adopting and Expanding Ethical Principles for Generative Artificial Intelligence.,David Oniani;Jordan Hilsman;Yifan Peng;Ronald K. Poropatich;Jeremy C. Pamplin;Gary L. Legault;Yanshan Wang,,,CoRR,,2023,10.48550/ARXIV.2308.02448,https://doi.org/10.48550/arXiv.2308.02448,DBLP,,
conf/assets/GlazkoYDMPXM23,An Autoethnographic Case Study of Generative Artificial Intelligence&apos;s Utility for Accessibility.,Kate S. Glazko;Momona Yamagami;Aashaka Desai;Kelly Avery Mack;Venkatesh Potluri;Xuhai Xu;Jennifer Mankoff,,,ASSETS,,2023,10.1145/3597638.3614548,https://doi.org/10.1145/3597638.3614548,DBLP,,
journals/corr/abs-2308-09924,An Autoethnographic Case Study of Generative Artificial Intelligence&apos;s Utility for Accessibility.,Kate S. Glazko;Momona Yamagami;Aashaka Desai;Kelly Avery Mack;Venkatesh Potluri;Xuhai Xu;Jennifer Mankoff,,,CoRR,,2023,10.48550/ARXIV.2308.09924,https://doi.org/10.48550/arXiv.2308.09924,DBLP,,
conf/chi/ConstantinidesT24,Implications of Regulations on the Use of AI and Generative AI for Human-Centered Responsible Artificial Intelligence.,Marios Constantinides;Mohammad Tahaei;Daniele Quercia;Simone Stumpf;Michael Madaio;Sean Kennedy;Lauren Wilcox;Jessica Vitak;Henriette Cramer;Edyta Paulina Bogucka;Ricardo Baeza-Yates;Ewa Luger;Jess Holbrook;Michael J. Muller;Ilana Golbin Blumenfeld;Giada Pistilli,,,CHI Extended Abstracts,,2024,10.1145/3613905.3643979,https://doi.org/10.1145/3613905.3643979,DBLP,,
journals/corr/abs-2403-00148,Implications of Regulations on the Use of AI and Generative AI for Human-Centered Responsible Artificial Intelligence.,Marios Constantinides;Mohammad Tahaei;Daniele Quercia;Simone Stumpf;Michael Madaio;Sean Kennedy;Lauren Wilcox;Jessica Vitak;Henriette Cramer;Edyta Paulina Bogucka;Ricardo Baeza-Yates;Ewa Luger;Jess Holbrook;Michael J. Muller;Ilana Golbin Blumenfeld;Giada Pistilli,,,CoRR,,2024,10.48550/ARXIV.2403.00148,https://doi.org/10.48550/arXiv.2403.00148,DBLP,,
conf/chi/HuangLCZZ24,PlantoGraphy: Incorporating Iterative Design Process into Generative Artificial Intelligence for Landscape Rendering.,Rong Huang 0007;Haichuan Lin;Chuanzhang Chen;Kang Zhang 0001;Wei Zeng 0004,,,CHI,,2024,10.1145/3613904.3642824,https://doi.org/10.1145/3613904.3642824,DBLP,,
