ID,Title,Authors,Abstract,Keywords,Journal,Publication_Date,Year,DOI,URL,Source,Country,Language
conf/chi/Shi0CDCQR25,CARING-AI: Towards Authoring Context-aware Augmented Reality INstruction through Generative Artificial Intelligence.,Jingyu Shi;Rahul Jain 0018;Seunggeun Chi;Hyungjun Doh;Hyung-Gun Chi;Alexander J. Quinn;Karthik Ramani,,,CHI,,2025,10.1145/3706598.3713348,https://doi.org/10.1145/3706598.3713348,DBLP,,
conf/cbms/RofenaMPZSG25,Lesion-Aware Generative Artificial Intelligence for Virtual Contrast-Enhanced Mammography in Breast Cancer.,Aurora Rofena;Arianna Manchia;Claudia Lucia Piccolo;Bruno Beomonte Zobel;Paolo Soda;Valerio Guarrasi,,,CBMS,,2025,10.1109/CBMS65348.2025.00039,https://doi.org/10.1109/CBMS65348.2025.00039,DBLP,,
https://openalex.org/W4387379065,The Potential of Generative Artificial Intelligence Across Disciplines: Perspectives and Future Directions,Keng?Boon Ooi;Garry Wei?Han Tan;Mostafa Al?Emran;Mohammed A. Al?Sharafi;Alexandru C?p??în?;Amrita Chakraborty;Yogesh K. Dwivedi;Tzu-Ling Huang;Arpan Kumar Kar;Voon?Hsien Lee;Xiu-Ming Loh;Adrian Micu;Patrick Mikalef;Emmanuel Mogaji;Neeraj Pandey;Ramakrishnan Raman;Nripendra P. Rana;Prianka Sarker;Anshuman Sharma;Ching?I Teng;Samuel Fosso Wamba;Lai?Wan Wong,Abstract available,,Journal of Computer Information Systems,,2023,10.1080/08874417.2023.2261010,null,OPENALEX,,
conf/micai/MinuttiMartinezEM23,PumaMedNet-CXR: An Explainable Generative Artificial Intelligence for the Analysis and Classification of Chest X-Ray Images.,Carlos Minutti-Martinez;Boris Escalante-Ramírez;Jimena Olveres Montiel,,,MICAI,,2023,10.1007/978-3-031-47640-2_18,https://doi.org/10.1007/978-3-031-47640-2_18,DBLP,,
journals/iotm/LyuPSSZ25,Guest Editorial: Generative Artificial Intelligence at the Edge in the Modern Internet of Things.,Zhihan Lyu;James J. Park 0001;Jun Shen 0001;Houbing Song;Yi Zhang 0102,,,IEEE Internet Things Mag.,,2025,10.1109/MIOT.2025.10815088,https://doi.org/10.1109/MIOT.2025.10815088,DBLP,,
journals/siamrev/HighamHG25,Diffusion Models for Generative Artificial Intelligence: An Introduction for Applied Mathematicians.,Catherine F. Higham;Desmond J. Higham;Peter Grindrod,,,SIAM Rev.,,2025,10.1137/23M1626232,https://doi.org/10.1137/23m1626232,DBLP,,
https://openalex.org/W4389359039,Generative artificial intelligence,Leonardo Banh;Gero Strobel,Abstract available,,Electronic Markets,,2023,10.1007/s12525-023-00680-1,https://link.springer.com/content/pdf/10.1007/s12525-023-00680-1.pdf,OPENALEX,,
journals/mta/SengarHKC25,Generative artificial intelligence: a systematic review and applications.,Sandeep Singh Sengar;Affan Bin Hasan;Sanjay Kumar 0001;Fiona Carroll,,,Multim. Tools Appl.,,2025,10.1007/S11042-024-20016-1,https://doi.org/10.1007/s11042-024-20016-1,DBLP,,
https://openalex.org/W4367059804,The Rise of Generative Artificial Intelligence and Its Impact on Education: The Promises and Perils,San Murugesan;Aswani Kumar Cherukuri,Abstract available,,Computer,,2023,10.1109/mc.2023.3253292,https://ieeexplore.ieee.org/ielx7/2/10109259/10109305.pdf,OPENALEX,,
journals/bjet/FanTLSTZSLG25,"Beware of metacognitive laziness: Effects of generative artificial intelligence on learning motivation, processes, and performance.",Yizhou Fan;Luzhen Tang;Huixiao Le;Kejie Shen;Shufang Tan;Yueying Zhao;Yuan Shen;Xinyu Li 0004;Dragan Gasevic,,,Br. J. Educ. Technol.,,2025,10.1111/BJET.13544,https://doi.org/10.1111/bjet.13544,DBLP,,
